method,dataset,sequence,seed,run_id,status,notes,psnr,ssim,lpips,depth_l1_cm,accuracy_cm,mask_type,method_raw_completion_cm,method_raw_completion_ratio
MonoGS,TUM,f1_desk,0,f1_desk_seed_0,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,23.4778,0.7819,0.2491,6.0912,4.26,full,4.6721,62.3109
MonoGS,TUM,f1_desk,1,f1_desk_seed_1,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,23.5882,0.7837,0.245,6.5334,4.2088,full,4.8195,61.391
MonoGS,TUM,f1_desk,2,f1_desk_seed_2,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,23.6411,0.7846,0.2444,6.2809,4.1908,full,4.7578,61.9317
MonoGS,TUM,f2_xyz,0,f2_xyz_seed_0,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,24.7742,0.8011,0.2122,13.6754,39.8394,full,18.1193,30.0186
MonoGS,TUM,f2_xyz,1,f2_xyz_seed_1,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,24.3634,0.787,0.2244,14.7068,28.9721,full,20.4389,29.2828
MonoGS,TUM,f2_xyz,2,f2_xyz_seed_2,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,24.6362,0.7931,0.2199,14.3301,35.2701,full,18.9393,30.1475
MonoGS,TUM,f3_office,0,f3_office_seed_0,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,24.8776,0.8393,0.211,13.9835,35.9752,full,12.6286,41.3435
MonoGS,TUM,f3_office,1,f3_office_seed_1,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,25.0638,0.842,0.2049,13.8654,30.5355,full,12.1297,41.8
MonoGS,TUM,f3_office,2,f3_office_seed_2,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,24.9473,0.8396,0.2036,13.9689,28.7227,full,11.0928,43.9485
MonoGS,TUM,f2_person,0,f2_person_seed_0,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,20.0808,0.6738,0.3909,26.454,146.6891,full,18.0351,23.5815
MonoGS,TUM,f2_person,1,f2_person_seed_1,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,20.1759,0.6763,0.3864,26.932,140.638,full,17.8088,24.176
